Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR349,3738,3238,2025-04-21
JHR350,2100,2200,2025-04-21
JHR359,7457,5618,2025-04-21
JHR365,4115,5063,2025-04-21
JHR375,2084,1849,2025-04-21
JHR377,3491,4715,2025-04-21
JHR380,3702,1655,2025-04-21
JHR429,1876,1916,2025-04-21
JHR354,3055,3584,2025-04-21
JHR7429,3238,1906,2025-04-21
JHR358,1378,3203,2025-04-21
JHR7561,882,901,2025-04-21
JHR301,9518,7914,2025-04-20
JHR357,9204,10130,2025-04-20
JHR361,3491,3261,2025-04-20
JHR369,2418,2204,2025-04-20
JHR371,7263,6524,2025-04-20
JHR374,3215,2401,2025-04-20
JHR378,6365,4285,2025-04-20
JHR345,12054,10958,2025-04-20
JHR7564,865,895,2025-04-20
JHR382,3006,2767,2025-04-20
JHR384,3502,3138,2025-04-20
JHR302,8330,7774,2025-04-20
JHR315,4799,5547,2025-04-20
JHR7563,3122,2927,2025-04-20
JHR334,4038,3784,2025-04-20
JHR7422,1188,1202,2025-04-20
JHR360,10037,4623,2025-04-20
JHR379,18,0,2025-04-20
JHR386,3,0,2025-04-20
JHR042,0,3,2025-04-20
JHR307,4004,4119,2025-04-20
JHR310,15373,17332,2025-04-20
JHR319,3485,3430,2025-04-20
JHR343,4586,4518,2025-04-20
JHR366,2827,2390,2025-04-20
JHR373,3821,4043,2025-04-20
JHR376,7648,7106,2025-04-20
JHR381,0,3092,2025-04-20
JHR385,1121,1189,2025-04-20
JHR435,3706,2301,2025-04-20
JHR341,3103,3404,2025-04-20
JHR356,5364,5254,2025-04-20
JHR372,2145,1963,2025-04-20
JHR7401,2673,2079,2025-04-20
JHR383,1676,1889,2025-04-20
JHR389,2964,2202,2025-04-20
JHR336,11319,9722,2025-04-20
JHR362,9341,8333,2025-04-20
JHR368,4311,4951,2025-04-20
JHR370,5387,4762,2025-04-20
JHR349,5693,5088,2025-04-20
JHR350,3391,3403,2025-04-20
JHR359,8122,8734,2025-04-20
JHR365,5774,3716,2025-04-20
JHR375,2604,2565,2025-04-20
JHR377,4799,5418,2025-04-20
JHR380,1499,1246,2025-04-20
JHR429,2041,2100,2025-04-20
JHR354,6066,5750,2025-04-20
JHR7429,1517,1261,2025-04-20
JHR358,1754,2496,2025-04-20
