DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR315,81310,2025-03-27,6,9,8,3
JHR315,81400,2025-03-27,275,1345,76,1949
JHR315,81410,2025-03-27,6,13,0,9
JHR315,81500,2025-03-27,3,0,0,0
JHR315,81550,2025-03-27,1,0,0,0
JHR315,81560,2025-03-27,1,0,0,0
JHR315,81700,2025-03-27,0,1,0,0
JHR315,82100,2025-03-27,2,0,0,0
JHR315,83100,2025-03-27,1,0,0,0
JHR315,84000,2025-03-27,0,1,0,0
JHR315,89000,2025-03-27,0,1,0,0
JHR315,89150,2025-03-27,1,0,0,0
JHR315,89600,2025-03-27,0,1,0,0
JHR315,90000,2025-03-27,2,1,0,0
JHR315,91000,2025-03-27,0,1,0,0
JHR315,91300,2025-03-27,1,0,0,0
JHR315,9300,2025-03-27,1,0,0,0
JHR315,93050,2025-03-27,0,2,0,0
JHR315,94600,2025-03-27,1,0,0,0
JHR319,42700,2025-03-27,1,0,0,0
JHR319,6010,2025-03-27,0,1,0,0
JHR319,81300,2025-03-27,0,1,0,0
JHR319,81700,2025-03-27,0,1,0,0
JHR319,83000,2025-03-27,0,1,0,0
JHR319,84030,2025-03-27,0,4,0,2
JHR319,85000,2025-03-27,58,97,14,35
JHR319,85030,2025-03-27,29,13,12,11
JHR319,85040,2025-03-27,0,1,0,2
JHR319,85070,2025-03-27,1,0,0,0
JHR319,85300,2025-03-27,94,557,56,400
JHR319,85400,2025-03-27,28,189,4,134
JHR319,86500,2025-03-27,26,110,1,25
JHR319,86800,2025-03-27,0,1,0,0
JHR319,88722,2025-03-27,0,0,1,0
JHR334,11960,2025-03-27,0,1,0,0
JHR334,13310,2025-03-27,0,2,0,0
JHR334,13700,2025-03-27,0,1,0,0
JHR334,16100,2025-03-27,0,2,0,0
JHR334,16310,2025-03-27,0,1,0,0
JHR334,16450,2025-03-27,0,1,0,0
JHR334,18000,2025-03-27,0,1,0,0
